# open,high,low,close,open_error,open_error_ratio,pred_change,real_change,change_error,change_error_ratio,correct
51.0838737487793,50.042755126953125,51.18989181518554,50.36302185058592,-206.7261262512207,4.04679815919717,-0.7208518981933736,0.01999999999998181,-0.7408518981933554,37.04259490970146,False
88.0385513305664,87.68089294433594,88.14224243164062,87.9163589477539,-168.3814486694336,1.9125876803355881,-0.1221923828125,-0.35000000000002274,0.22780761718752274,0.6508789062500226,True
140.39118957519534,141.1152801513672,140.5292510986328,140.9766845703125,-115.66881042480466,0.8239036279612899,0.5854949951171591,0.6100000000000136,-0.024505004882854564,0.0401721391522197,True
190.90879821777344,192.61495971679688,191.0663909912109,192.0241241455078,-65.64120178222657,0.34383539362784293,1.115325927734375,0.25,0.865325927734375,3.4613037109375,True
223.85362243652347,226.06228637695312,224.05950927734372,225.262939453125,-34.23637756347651,0.15294091375798338,1.409317016601534,-1.099999999999966,2.5093170166015,2.2811972878196163,False
233.42465209960935,235.64877319335935,233.78521728515625,234.93412780761722,-22.26534790039065,0.09538558888325709,1.5094757080078693,0.9200000000000159,0.5894757080078534,0.6407344652259166,True
231.4736175537109,233.4828186035156,231.9804534912109,232.96623229980466,-23.856382446289103,0.10306307344401136,1.49261474609375,-0.25,1.74261474609375,6.970458984375,False
232.28817749023443,234.0814666748047,232.81144714355466,233.75166320800778,-23.121822509765565,0.09953938577324979,1.4634857177733522,0.5999999999999943,0.8634857177733579,1.4391428629556102,True
236.649169921875,238.2754364013672,237.1122741699219,238.10919189453122,-17.500830078125006,0.07395263665578272,1.4600219726562216,1.2699999999999818,0.19002197265623977,0.14962360051672638,True
240.39952087402344,241.87739562988284,240.803466796875,241.86898803710935,-13.626479125976573,0.056682638452999486,1.469467163085909,0.9539999999999793,0.5154671630859298,0.5403219738846341,True
242.47290039062497,243.81278991699216,242.83239746093753,243.95173645019526,-9.177099609375034,0.0378479392731752,1.478836059570284,0.549999999999983,0.9288360595703011,1.688792835582418,True
242.57659912109372,243.780502319336,242.90657043457028,244.05369567871088,-10.243400878906272,0.04222748985689583,1.477096557617159,-0.060000000000002274,1.5370965576171614,25.61827596028505,False
243.0568084716797,244.15197753906247,243.3426055908203,244.52861022949216,-7.323191528320308,0.03012954697450323,1.4718017578124716,1.6200000000000045,-0.14819824218753297,0.09148039641205713,True
242.96031188964844,243.9577941894531,243.20501708984372,244.4188842773437,-6.319688110351564,0.026011195249131636,1.4585723876952557,-0.5,1.9585723876952557,3.9171447753905113,False
242.49085998535162,243.40069580078125,242.69512939453122,243.9287109375,-4.519140014648372,0.01863633134428804,1.4378509521483807,1.6400000000000148,-0.20214904785163412,0.12326161454367823,True
241.4424133300781,242.26806640624997,241.61000061035162,242.85031127929693,-7.5975866699218955,0.031467489763429286,1.4078979492188353,-0.7099999999999795,2.117897949218815,2.9829548580547547,False
