# open,high,low,close,open_error,open_error_ratio,pred_change,real_change,change_error,change_error_ratio,correct
55.56104278564453,54.632591247558594,55.80880355834961,55.181396484375,-202.24895721435547,3.6401216945231836,-0.37964630126953125,0.01999999999998181,-0.39964630126951306,19.982315063493825,False
80.1140670776367,79.30265808105469,80.33881378173827,80.3099136352539,-176.3059329223633,2.2006863382869986,0.1958465576172017,-0.35000000000002274,0.5458465576172244,1.5595615931919686,False
119.23167419433592,118.57460021972656,119.43350982666014,120.20655059814452,-136.82832580566406,1.1475836998031859,0.9748764038085938,0.6100000000000136,0.3648764038085801,0.5981580390304458,True
159.8605194091797,159.38792419433594,160.033203125,161.48666381835935,-96.68948059082032,0.6048365221642593,1.626144409179659,0.25,1.376144409179659,5.504577636718636,True
192.718978881836,192.45150756835938,192.84822082519526,194.69299316406247,-65.37102111816398,0.33920385785276325,1.9740142822264772,-1.099999999999966,3.074014282226443,2.7945584383877624,False
212.83578491210938,212.7628326416016,212.90419006347653,214.8090362548828,-42.85421508789062,0.2013487304570859,1.9732513427734375,0.9200000000000159,1.0532513427734216,1.1448384160580471,True
219.87408447265625,219.95181274414065,219.87200927734372,221.56208801269528,-35.45591552734376,0.16125554592930252,1.688003540039034,-0.25,1.938003540039034,7.752014160156136,False
218.75396728515622,218.93359375,218.68530273437503,220.03520202636722,-36.656032714843775,0.16756739623862862,1.2812347412109943,0.5999999999999943,0.681234741211,1.1353912353516775,True
216.3925476074219,216.64993286132807,216.26808166503906,217.31977844238278,-37.7574523925781,0.1744859183463076,0.9272308349608807,1.2699999999999818,-0.34276916503910115,0.2698969803457528,True
216.77337646484372,217.10577392578125,216.60479736328125,217.48214721679688,-37.25262353515629,0.1718505479901399,0.7087707519531534,0.9539999999999793,-0.2452292480468259,0.2570537191266575,True
220.35104370117188,220.75950622558594,220.14961242675778,220.9696350097656,-31.29895629882813,0.1420413344684406,0.6185913085937216,0.549999999999983,0.06859130859373863,0.12471147017043774,True
225.32043457031247,225.79885864257807,225.0957489013672,225.9189300537109,-27.49956542968752,0.12204647786220264,0.5984954833984375,-0.060000000000002274,0.6584954833984398,10.974924723306914,False
230.3826446533203,230.92118835449216,230.14115905761722,230.98843383789062,-19.997355346679683,0.08680061545769514,0.6057891845703125,1.6200000000000045,-1.014210815429692,0.6260560589072156,True
234.24290466308597,234.82850646972656,233.98808288574213,234.84622192382812,-15.037095336914035,0.0641944538663489,0.6033172607421591,-0.5,1.103317260742159,2.206634521484318,False
236.48861694335938,237.10829162597656,236.22183227539068,237.0670623779297,-10.521383056640616,0.044490018981169645,0.5784454345703125,1.6400000000000148,-1.0615545654297023,0.6472893691644468,True
237.17062377929688,237.81280517578128,236.8925018310547,237.70230102539065,-11.869376220703117,0.05004572670748788,0.5316772460937784,-0.7099999999999795,1.241677246093758,1.7488411916813997,False
